document_id,process_instance_id,policy_id,client_id,created_at,count_last_minute,content_type,size,anomaly_label
d00032,p0008,reposicion_tarjeta,c0008,2026-03-09T09:08:00,5,image/jpeg,439673,0
d00033,p0009,reposicion_tarjeta,c0009,2026-03-10T10:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,292036,0
d00034,p0009,reposicion_tarjeta,c0009,2026-03-10T10:05:00,2,application/pdf,333273,0
d00035,p0009,reposicion_tarjeta,c0009,2026-03-10T10:06:00,3,image/jpeg,374510,0
d00036,p0009,reposicion_tarjeta,c0009,2026-03-10T10:07:00,4,image/png,415747,0
d00037,p0009,reposicion_tarjeta,c0009,2026-03-10T10:08:00,5,application/vnd.openxmlformats-officedocument.wordprocessingml.document,456984,0
d00038,p0009,reposicion_tarjeta,c0009,2026-03-10T10:09:00,6,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,498221,0
d00039,p0010,reposicion_tarjeta,c0010,2026-03-11T11:04:00,1,image/jpeg,309347,0
d00040,p0010,reposicion_tarjeta,c0010,2026-03-11T11:05:00,2,image/png,350584,0
d00041,p0011,reposicion_tarjeta,c0011,2026-03-12T12:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,326658,0
d00042,p0011,reposicion_tarjeta,c0011,2026-03-12T12:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,367895,0
d00043,p0011,reposicion_tarjeta,c0011,2026-03-12T12:06:00,3,application/pdf,409132,0
d00044,p0012,reposicion_tarjeta,c0012,2026-03-13T13:04:00,1,application/pdf,343969,0
d00045,p0012,reposicion_tarjeta,c0012,2026-03-13T13:05:00,2,image/jpeg,385206,0
d00046,p0012,reposicion_tarjeta,c0012,2026-03-13T13:06:00,3,image/png,426443,0
d00047,p0012,reposicion_tarjeta,c0012,2026-03-13T13:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,467680,0
d00048,p0013,reposicion_tarjeta,c0013,2026-03-14T14:04:00,1,image/png,361280,0
d00049,p0013,reposicion_tarjeta,c0013,2026-03-14T14:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,402517,0
d00050,p0013,reposicion_tarjeta,c0013,2026-03-14T14:06:00,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,443754,0
d00051,p0013,reposicion_tarjeta,c0013,2026-03-14T14:07:00,4,application/pdf,484991,0
d00052,p0013,reposicion_tarjeta,c0013,2026-03-14T14:08:00,5,image/jpeg,526228,0
d00053,p0014,reposicion_tarjeta,c0014,2026-03-15T08:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,378591,0
d00054,p0014,reposicion_tarjeta,c0014,2026-03-15T08:05:00,2,application/pdf,419828,0
d00055,p0014,reposicion_tarjeta,c0014,2026-03-15T08:06:00,3,image/jpeg,461065,0
d00056,p0014,reposicion_tarjeta,c0014,2026-03-15T08:07:00,4,image/png,502302,0
d00057,p0014,reposicion_tarjeta,c0014,2026-03-15T08:08:00,5,application/vnd.openxmlformats-officedocument.wordprocessingml.document,543539,0
d00058,p0014,reposicion_tarjeta,c0014,2026-03-15T08:09:00,6,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,584776,0
d00059,p0015,reposicion_tarjeta,c0015,2026-03-16T09:04:00,1,image/jpeg,395902,0
d00060,p0015,reposicion_tarjeta,c0015,2026-03-16T09:05:00,2,image/png,437139,0
d00061,p0016,reposicion_tarjeta,c0016,2026-03-17T10:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,413213,0
d00062,p0016,reposicion_tarjeta,c0016,2026-03-17T10:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,454450,0
d00063,p0016,reposicion_tarjeta,c0016,2026-03-17T10:06:00,3,application/pdf,495687,0
d00064,p0017,reposicion_tarjeta,c0017,2026-03-18T11:04:00,9,application/pdf,430524,1
d00065,p0017,reposicion_tarjeta,c0017,2026-03-18T11:05:00,10,image/jpeg,471761,1
d00066,p0017,reposicion_tarjeta,c0017,2026-03-18T11:06:00,11,image/png,512998,1
d00067,p0017,reposicion_tarjeta,c0017,2026-03-18T11:07:00,12,application/vnd.openxmlformats-officedocument.wordprocessingml.document,554235,1
d00068,p0017,reposicion_tarjeta,c0017,2026-03-18T11:08:00,13,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,595472,1
d00069,p0017,reposicion_tarjeta,c0017,2026-03-18T11:09:00,14,application/pdf,636709,1
d00070,p0017,reposicion_tarjeta,c0017,2026-03-18T11:10:00,15,image/jpeg,677946,1
d00071,p0017,reposicion_tarjeta,c0017,2026-03-18T11:11:00,16,image/png,719183,1
d00072,p0017,reposicion_tarjeta,c0017,2026-03-18T11:12:00,17,application/vnd.openxmlformats-officedocument.wordprocessingml.document,760420,1
d00073,p0017,reposicion_tarjeta,c0017,2026-03-18T11:13:00,18,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,801657,1
d00074,p0017,reposicion_tarjeta,c0017,2026-03-18T11:14:00,19,application/pdf,842894,1
d00075,p0017,reposicion_tarjeta,c0017,2026-03-18T11:15:00,20,image/jpeg,884131,1
d00076,p0017,reposicion_tarjeta,c0017,2026-03-18T11:16:00,20,image/png,925368,1
d00077,p0018,reposicion_tarjeta,c0018,2026-03-19T12:04:00,1,image/png,447835,0
d00078,p0018,reposicion_tarjeta,c0018,2026-03-19T12:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,489072,0
d00079,p0018,reposicion_tarjeta,c0018,2026-03-19T12:06:00,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,530309,0
d00080,p0018,reposicion_tarjeta,c0018,2026-03-19T12:07:00,4,application/pdf,571546,0
d00081,p0018,reposicion_tarjeta,c0018,2026-03-19T12:08:00,5,image/jpeg,612783,0
d00082,p0019,renovacion_tarjeta,c0019,2026-03-20T09:04:00,1,image/jpeg,465146,0
d00083,p0019,renovacion_tarjeta,c0019,2026-03-20T09:05:00,2,image/png,506383,0
d00084,p0019,renovacion_tarjeta,c0019,2026-03-20T09:06:00,3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,547620,0
d00085,p0020,renovacion_tarjeta,c0020,2026-03-21T10:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,482457,0
d00086,p0020,renovacion_tarjeta,c0020,2026-03-21T10:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,523694,0
d00087,p0020,renovacion_tarjeta,c0020,2026-03-21T10:06:00,3,application/pdf,564931,0
d00088,p0020,renovacion_tarjeta,c0020,2026-03-21T10:07:00,4,image/jpeg,606168,0
d00089,p0021,renovacion_tarjeta,c0021,2026-03-22T11:04:00,1,application/pdf,499768,0
d00090,p0021,renovacion_tarjeta,c0021,2026-03-22T11:05:00,2,image/jpeg,541005,0
d00091,p0021,renovacion_tarjeta,c0021,2026-03-22T11:06:00,3,image/png,582242,0
d00092,p0021,renovacion_tarjeta,c0021,2026-03-22T11:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,623479,0
d00093,p0021,renovacion_tarjeta,c0021,2026-03-22T11:08:00,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,664716,0
d00094,p0022,renovacion_tarjeta,c0022,2026-03-23T12:04:00,1,image/png,517079,0
d00095,p0022,renovacion_tarjeta,c0022,2026-03-23T12:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,558316,0
d00096,p0022,renovacion_tarjeta,c0022,2026-03-23T12:06:00,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,599553,0
d00097,p0022,renovacion_tarjeta,c0022,2026-03-23T12:07:00,4,application/pdf,640790,0
d00098,p0022,renovacion_tarjeta,c0022,2026-03-23T12:08:00,5,image/jpeg,682027,0
d00099,p0022,renovacion_tarjeta,c0022,2026-03-23T12:09:00,6,image/png,723264,0
d00100,p0023,renovacion_tarjeta,c0023,2026-03-24T13:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,534390,0
d00101,p0023,renovacion_tarjeta,c0023,2026-03-24T13:05:00,2,application/pdf,575627,0
d00102,p0024,renovacion_tarjeta,c0024,2026-03-25T14:04:00,1,image/jpeg,551701,0
d00103,p0024,renovacion_tarjeta,c0024,2026-03-25T14:05:00,2,image/png,592938,0
d00104,p0024,renovacion_tarjeta,c0024,2026-03-25T14:06:00,3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,634175,0
d00105,p0025,renovacion_tarjeta,c0025,2026-03-26T08:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,569012,0
d00106,p0025,renovacion_tarjeta,c0025,2026-03-26T08:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,610249,0
d00107,p0025,renovacion_tarjeta,c0025,2026-03-26T08:06:00,3,application/pdf,651486,0
d00108,p0025,renovacion_tarjeta,c0025,2026-03-26T08:07:00,4,image/jpeg,692723,0
d00109,p0026,renovacion_tarjeta,c0026,2026-03-27T09:04:00,1,application/pdf,586323,0
d00110,p0026,renovacion_tarjeta,c0026,2026-03-27T09:05:00,2,image/jpeg,627560,0
d00111,p0026,renovacion_tarjeta,c0026,2026-03-27T09:06:00,3,image/png,668797,0
d00112,p0026,renovacion_tarjeta,c0026,2026-03-27T09:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,710034,0
d00113,p0026,renovacion_tarjeta,c0026,2026-03-27T09:08:00,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,751271,0
d00114,p0027,renovacion_tarjeta,c0027,2026-03-28T10:04:00,1,image/png,603634,0
d00115,p0027,renovacion_tarjeta,c0027,2026-03-28T10:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,644871,0
d00116,p0027,renovacion_tarjeta,c0027,2026-03-28T10:06:00,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,686108,0
d00117,p0027,renovacion_tarjeta,c0027,2026-03-28T10:07:00,4,application/pdf,727345,0
d00118,p0027,renovacion_tarjeta,c0027,2026-03-28T10:08:00,5,image/jpeg,768582,0
d00119,p0027,renovacion_tarjeta,c0027,2026-03-28T10:09:00,6,image/png,809819,0
d00120,p0028,renovacion_tarjeta,c0028,2026-03-29T11:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,620945,0
d00121,p0028,renovacion_tarjeta,c0028,2026-03-29T11:05:00,2,application/pdf,662182,0
d00122,p0029,renovacion_tarjeta,c0029,2026-03-30T12:04:00,1,image/jpeg,638256,0
d00123,p0029,renovacion_tarjeta,c0029,2026-03-30T12:05:00,2,image/png,679493,0
d00124,p0029,renovacion_tarjeta,c0029,2026-03-30T12:06:00,3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,720730,0
d00125,p0030,renovacion_tarjeta,c0030,2026-03-31T13:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,655567,0
d00126,p0030,renovacion_tarjeta,c0030,2026-03-31T13:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,696804,0
d00127,p0030,renovacion_tarjeta,c0030,2026-03-31T13:06:00,3,application/pdf,738041,0
d00128,p0030,renovacion_tarjeta,c0030,2026-03-31T13:07:00,4,image/jpeg,779278,0
d00129,p0031,renovacion_tarjeta,c0031,2026-04-01T14:04:00,1,application/pdf,672878,0
d00130,p0031,renovacion_tarjeta,c0031,2026-04-01T14:05:00,2,image/jpeg,714115,0
d00131,p0031,renovacion_tarjeta,c0031,2026-04-01T14:06:00,3,image/png,755352,0
d00132,p0031,renovacion_tarjeta,c0031,2026-04-01T14:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,796589,0
d00133,p0031,renovacion_tarjeta,c0031,2026-04-01T14:08:00,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,837826,0
d00134,p0032,renovacion_tarjeta,c0032,2026-04-02T08:04:00,1,image/png,690189,0
d00135,p0032,renovacion_tarjeta,c0032,2026-04-02T08:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,731426,0
d00136,p0032,renovacion_tarjeta,c0032,2026-04-02T08:06:00,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,772663,0
d00137,p0032,renovacion_tarjeta,c0032,2026-04-02T08:07:00,4,application/pdf,813900,0
d00138,p0032,renovacion_tarjeta,c0032,2026-04-02T08:08:00,5,image/jpeg,855137,0
d00139,p0032,renovacion_tarjeta,c0032,2026-04-02T08:09:00,6,image/png,896374,0
d00140,p0033,renovacion_tarjeta,c0033,2026-04-03T09:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,707500,0
d00141,p0033,renovacion_tarjeta,c0033,2026-04-03T09:05:00,2,application/pdf,748737,0
d00142,p0034,renovacion_tarjeta,c0034,2026-04-04T10:04:00,1,image/jpeg,724811,0
d00143,p0034,renovacion_tarjeta,c0034,2026-04-04T10:05:00,2,image/png,766048,0
d00144,p0034,renovacion_tarjeta,c0034,2026-04-04T10:06:00,3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,807285,0
d00145,p0035,renovacion_tarjeta,c0035,2026-04-05T11:04:00,9,application/vnd.openxmlformats-officedocument.wordprocessingml.document,742122,1
d00146,p0035,renovacion_tarjeta,c0035,2026-04-05T11:05:00,10,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,783359,1
d00147,p0035,renovacion_tarjeta,c0035,2026-04-05T11:06:00,11,application/pdf,824596,1
d00148,p0035,renovacion_tarjeta,c0035,2026-04-05T11:07:00,12,image/jpeg,865833,1
d00149,p0035,renovacion_tarjeta,c0035,2026-04-05T11:08:00,13,image/png,907070,1
d00150,p0035,renovacion_tarjeta,c0035,2026-04-05T11:09:00,14,application/vnd.openxmlformats-officedocument.wordprocessingml.document,948307,1
d00151,p0035,renovacion_tarjeta,c0035,2026-04-05T11:10:00,15,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,989544,1
d00152,p0035,renovacion_tarjeta,c0035,2026-04-05T11:11:00,16,application/pdf,1030781,1
d00153,p0035,renovacion_tarjeta,c0035,2026-04-05T11:12:00,17,image/jpeg,1072018,1
d00154,p0035,renovacion_tarjeta,c0035,2026-04-05T11:13:00,18,image/png,1113255,1
d00155,p0035,renovacion_tarjeta,c0035,2026-04-05T11:14:00,19,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1154492,1
d00156,p0035,renovacion_tarjeta,c0035,2026-04-05T11:15:00,20,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1195729,1
d00157,p0035,renovacion_tarjeta,c0035,2026-04-05T11:16:00,20,application/pdf,1236966,1
d00158,p0036,renovacion_tarjeta,c0036,2026-04-06T12:04:00,1,application/pdf,759433,0
d00159,p0036,renovacion_tarjeta,c0036,2026-04-06T12:05:00,2,image/jpeg,800670,0
d00160,p0036,renovacion_tarjeta,c0036,2026-04-06T12:06:00,3,image/png,841907,0
d00161,p0036,renovacion_tarjeta,c0036,2026-04-06T12:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,883144,0
d00162,p0036,renovacion_tarjeta,c0036,2026-04-06T12:08:00,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,924381,0
d00163,p0037,solicitud_credito,c0037,2026-04-07T09:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,776744,0
d00164,p0037,solicitud_credito,c0037,2026-04-07T09:05:00,2,application/pdf,817981,0
d00165,p0037,solicitud_credito,c0037,2026-04-07T09:06:00,3,image/jpeg,859218,0
d00166,p0038,solicitud_credito,c0038,2026-04-08T10:04:00,1,image/jpeg,794055,0
d00167,p0038,solicitud_credito,c0038,2026-04-08T10:05:00,2,image/png,835292,0
d00168,p0038,solicitud_credito,c0038,2026-04-08T10:06:00,3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,876529,0
d00169,p0038,solicitud_credito,c0038,2026-04-08T10:07:00,4,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,917766,0
d00170,p0039,solicitud_credito,c0039,2026-04-09T11:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,811366,0
d00171,p0039,solicitud_credito,c0039,2026-04-09T11:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,852603,0
d00172,p0039,solicitud_credito,c0039,2026-04-09T11:06:00,3,application/pdf,893840,0
d00173,p0039,solicitud_credito,c0039,2026-04-09T11:07:00,4,image/jpeg,935077,0
d00174,p0039,solicitud_credito,c0039,2026-04-09T11:08:00,5,image/png,976314,0
d00175,p0040,solicitud_credito,c0040,2026-04-10T12:04:00,1,application/pdf,828677,0
d00176,p0040,solicitud_credito,c0040,2026-04-10T12:05:00,2,image/jpeg,869914,0
d00177,p0040,solicitud_credito,c0040,2026-04-10T12:06:00,3,image/png,911151,0
d00178,p0040,solicitud_credito,c0040,2026-04-10T12:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,952388,0
d00179,p0040,solicitud_credito,c0040,2026-04-10T12:08:00,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,993625,0
d00180,p0040,solicitud_credito,c0040,2026-04-10T12:09:00,6,application/pdf,1034862,0
d00181,p0041,solicitud_credito,c0041,2026-04-11T13:04:00,1,image/png,845988,0
d00182,p0041,solicitud_credito,c0041,2026-04-11T13:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,887225,0
d00183,p0042,solicitud_credito,c0042,2026-04-12T14:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,863299,0
d00184,p0042,solicitud_credito,c0042,2026-04-12T14:05:00,2,application/pdf,904536,0
d00185,p0042,solicitud_credito,c0042,2026-04-12T14:06:00,3,image/jpeg,945773,0
d00186,p0043,solicitud_credito,c0043,2026-04-13T08:04:00,1,image/jpeg,880610,0
d00187,p0043,solicitud_credito,c0043,2026-04-13T08:05:00,2,image/png,921847,0
d00188,p0043,solicitud_credito,c0043,2026-04-13T08:06:00,3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,963084,0
d00189,p0043,solicitud_credito,c0043,2026-04-13T08:07:00,4,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1004321,0
d00190,p0044,solicitud_credito,c0044,2026-04-14T09:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,897921,0
d00191,p0044,solicitud_credito,c0044,2026-04-14T09:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,939158,0
d00192,p0044,solicitud_credito,c0044,2026-04-14T09:06:00,3,application/pdf,980395,0
d00193,p0044,solicitud_credito,c0044,2026-04-14T09:07:00,4,image/jpeg,1021632,0
d00194,p0044,solicitud_credito,c0044,2026-04-14T09:08:00,5,image/png,1062869,0
d00195,p0045,solicitud_credito,c0045,2026-04-15T10:04:00,1,application/pdf,915232,0
d00196,p0045,solicitud_credito,c0045,2026-04-15T10:05:00,2,image/jpeg,956469,0
d00197,p0045,solicitud_credito,c0045,2026-04-15T10:06:00,3,image/png,997706,0
d00198,p0045,solicitud_credito,c0045,2026-04-15T10:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1038943,0
d00199,p0045,solicitud_credito,c0045,2026-04-15T10:08:00,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1080180,0
d00200,p0045,solicitud_credito,c0045,2026-04-15T10:09:00,6,application/pdf,1121417,0
d00201,p0046,solicitud_credito,c0046,2026-04-16T11:04:00,1,image/png,932543,0
d00202,p0046,solicitud_credito,c0046,2026-04-16T11:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,973780,0
d00203,p0047,solicitud_credito,c0047,2026-04-17T12:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,949854,0
d00204,p0047,solicitud_credito,c0047,2026-04-17T12:05:00,2,application/pdf,991091,0
d00205,p0047,solicitud_credito,c0047,2026-04-17T12:06:00,3,image/jpeg,1032328,0
d00206,p0048,solicitud_credito,c0048,2026-04-18T13:04:00,9,image/jpeg,967165,1
d00207,p0048,solicitud_credito,c0048,2026-04-18T13:05:00,10,image/png,1008402,1
d00208,p0048,solicitud_credito,c0048,2026-04-18T13:06:00,11,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1049639,1
d00209,p0048,solicitud_credito,c0048,2026-04-18T13:07:00,12,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1090876,1
d00210,p0048,solicitud_credito,c0048,2026-04-18T13:08:00,13,application/pdf,1132113,1
d00211,p0048,solicitud_credito,c0048,2026-04-18T13:09:00,14,image/jpeg,1173350,1
d00212,p0048,solicitud_credito,c0048,2026-04-18T13:10:00,15,image/png,1214587,1
d00213,p0048,solicitud_credito,c0048,2026-04-18T13:11:00,16,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1255824,1
d00214,p0048,solicitud_credito,c0048,2026-04-18T13:12:00,17,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1297061,1
d00215,p0048,solicitud_credito,c0048,2026-04-18T13:13:00,18,application/pdf,1338298,1
d00216,p0048,solicitud_credito,c0048,2026-04-18T13:14:00,19,image/jpeg,1379535,1
d00217,p0048,solicitud_credito,c0048,2026-04-18T13:15:00,20,image/png,1420772,1
d00218,p0048,solicitud_credito,c0048,2026-04-18T13:16:00,20,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1462009,1
d00219,p0048,solicitud_credito,c0048,2026-04-18T13:17:00,20,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1503246,1
d00220,p0048,solicitud_credito,c0048,2026-04-18T13:18:00,20,application/pdf,1544483,1
d00221,p0048,solicitud_credito,c0048,2026-04-18T13:19:00,20,image/jpeg,135720,1
d00222,p0049,solicitud_credito,c0049,2026-04-19T14:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,984476,0
d00223,p0049,solicitud_credito,c0049,2026-04-19T14:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1025713,0
d00224,p0049,solicitud_credito,c0049,2026-04-19T14:06:00,3,application/pdf,1066950,0
d00225,p0049,solicitud_credito,c0049,2026-04-19T14:07:00,4,image/jpeg,1108187,0
d00226,p0049,solicitud_credito,c0049,2026-04-19T14:08:00,5,image/png,1149424,0
d00227,p0050,solicitud_credito,c0050,2026-04-20T08:04:00,1,application/pdf,1001787,0
d00228,p0050,solicitud_credito,c0050,2026-04-20T08:05:00,2,image/jpeg,1043024,0
d00229,p0050,solicitud_credito,c0050,2026-04-20T08:06:00,3,image/png,1084261,0
d00230,p0050,solicitud_credito,c0050,2026-04-20T08:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1125498,0
d00231,p0050,solicitud_credito,c0050,2026-04-20T08:08:00,5,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1166735,0
d00232,p0050,solicitud_credito,c0050,2026-04-20T08:09:00,6,application/pdf,1207972,0
d00233,p0051,solicitud_credito,c0051,2026-04-21T09:04:00,1,image/png,1019098,0
d00234,p0051,solicitud_credito,c0051,2026-04-21T09:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1060335,0
d00235,p0052,solicitud_credito,c0052,2026-04-22T10:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1036409,0
d00236,p0052,solicitud_credito,c0052,2026-04-22T10:05:00,2,application/pdf,1077646,0
d00237,p0052,solicitud_credito,c0052,2026-04-22T10:06:00,3,image/jpeg,1118883,0
d00238,p0053,solicitud_credito,c0053,2026-04-23T11:04:00,9,image/jpeg,1053720,1
d00239,p0053,solicitud_credito,c0053,2026-04-23T11:05:00,10,image/png,1094957,1
d00240,p0053,solicitud_credito,c0053,2026-04-23T11:06:00,11,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1136194,1
d00241,p0053,solicitud_credito,c0053,2026-04-23T11:07:00,12,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1177431,1
d00242,p0053,solicitud_credito,c0053,2026-04-23T11:08:00,13,application/pdf,1218668,1
d00243,p0053,solicitud_credito,c0053,2026-04-23T11:09:00,14,image/jpeg,1259905,1
